,time,hour,Alcalde,Avila_Camacho,Enrique_Diaz_de_Leon,Federalismo,Hidalgo,Independencia,Juarez,Lazaro_Cardenas,Lopez_Mateos,Vallarta,origin,destination,Ruta
118,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Basílica de Zapopan,Secretaría de Movilidad,631_380
119,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Basílica de Zapopan,La Minerva,24
120,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías,L3_629-1
121,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares,L3_710
122,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad,L3_LT1
123,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,La Minerva,258
124,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan,258_24
125,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Hospicio Cabañas,L1_L3
126,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Andares,25
127,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Secretaría de Movilidad,25_380
128,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,La Minerva,629-A
129,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Basílica de Zapopan,632-A_631
130,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Andares,Hospicio Cabañas,C54-L3
131,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Andares,Plaza Galerías,632-A
132,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Andares,Secretaría de Movilidad,632_619-Azul
133,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Andares,La Minerva,710
134,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Andares,Basílica de Zapopan,635-A
135,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Hospicio Cabañas,30_L3
136,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Plaza Galerías,258-A_368_629-2
137,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Andares,380_635-B
138,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,La Minerva,258-A
139,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Basílica de Zapopan,30_631
140,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,La Minerva,Hospicio Cabañas,L1_TL2
141,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,La Minerva,Plaza Galerías,L1
142,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,La Minerva,Andares,710
143,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,La Minerva,Secretaría de Movilidad,258-A
144,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,La Minerva,Basílica de Zapopan,24
145,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Hospicio Cabañas,24_L3
146,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Plaza Galerías,635-A_25
147,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Andares,635-A
148,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Secretaría de Movilidad,631_TL1
149,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,La Minerva,24
150,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías,L3_629-1
151,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares,L3_710
152,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad,L3_LT1
153,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,La Minerva,258
154,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan,258_24
155,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Hospicio Cabañas,L1_L3
156,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Andares,25
157,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Secretaría de Movilidad,25_380
158,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,La Minerva,629-A
159,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Basílica de Zapopan,632-A_631
160,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Andares,Hospicio Cabañas,C54-L3
161,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Andares,Plaza Galerías,632-A
162,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Andares,Secretaría de Movilidad,632_619-Azul
163,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Andares,La Minerva,710
164,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Andares,Basílica de Zapopan,635-A
165,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Hospicio Cabañas,30_L3
166,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Plaza Galerías,258-A_368_629-2
167,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Andares,380_635-B
168,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,La Minerva,258-A
169,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Basílica de Zapopan,30_631
170,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,La Minerva,Hospicio Cabañas,L1_TL2
171,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,La Minerva,Plaza Galerías,L1
172,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,La Minerva,Andares,710
173,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,La Minerva,Secretaría de Movilidad,258-A
174,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,La Minerva,Basílica de Zapopan,24
175,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Hospicio Cabañas,24_L3
176,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Plaza Galerías,635-A_25
177,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Andares,635-A
178,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Secretaría de Movilidad,631_TL1
179,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,La Minerva,24
180,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías,L3_629-1
181,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares,635-A
182,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad,L3_LT1
183,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,La Minerva,258
184,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan,258_24
185,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Plaza Galerías,Hospicio Cabañas,L1_L3
186,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Plaza Galerías,Andares,25
187,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Plaza Galerías,Secretaría de Movilidad,25_380
188,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Plaza Galerías,La Minerva,629-A
189,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Plaza Galerías,Basílica de Zapopan,632-A_631
190,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Andares,Hospicio Cabañas,C54-L3
191,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Andares,Plaza Galerías,632-A
192,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Andares,Secretaría de Movilidad,632_619-Azul
193,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Andares,La Minerva,710_258-D
194,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Andares,Basílica de Zapopan,635-A
195,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Hospicio Cabañas,30_L3
196,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Plaza Galerías,258-A_368_629-2
197,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Andares,380_635-B
198,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,La Minerva,258-A
199,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Basílica de Zapopan,30_631
200,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,La Minerva,Hospicio Cabañas,L1_TL2
201,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,La Minerva,Plaza Galerías,L1
202,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,La Minerva,Andares,710
203,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,La Minerva,Secretaría de Movilidad,258-A
204,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,La Minerva,Basílica de Zapopan,24
205,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Hospicio Cabañas,24_L3
206,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Plaza Galerías,635-A_25
207,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Andares,635-A
208,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Secretaría de Movilidad,631_TL1
209,2019-05-03 11:44:21,11,1,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,La Minerva,24
210,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Hospicio Cabañas,Plaza Galerías,L3_629-1
211,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Hospicio Cabañas,Andares,635-A
212,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad,L3_LT1
213,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Hospicio Cabañas,La Minerva,249
214,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan,L3_T08
215,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Plaza Galerías,Hospicio Cabañas,L1_L3
216,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Plaza Galerías,Andares,25
217,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Plaza Galerías,Secretaría de Movilidad,25_380
218,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Plaza Galerías,La Minerva,629-A
219,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Plaza Galerías,Basílica de Zapopan,632-A_24
220,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Andares,Hospicio Cabañas,710_258-D
221,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Andares,Plaza Galerías,632-A
222,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Andares,Secretaría de Movilidad,632_619-Azul
223,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Andares,La Minerva,710_258-D
224,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Andares,Basílica de Zapopan,635-A
225,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Secretaría de Movilidad,Hospicio Cabañas,30_L3
226,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Secretaría de Movilidad,Plaza Galerías,258-A_368_629-2
227,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Secretaría de Movilidad,Andares,380_635-B
228,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Secretaría de Movilidad,La Minerva,258-A
229,2019-05-03 12:44:21,12,1,0,0,0,1,1,0,0,0,0,Secretaría de Movilidad,Basílica de Zapopan,TL1_631
