,time,hour,Alcalde,Avila_Camacho,Enrique_Diaz_de_Leon,Federalismo,Hidalgo,Independencia,Juarez,Lazaro_Cardenas,Lopez_Mateos,Vallarta,origin,destination
95,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Plaza Galerías,Hospicio Cabañas
96,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Plaza Galerías,Andares
97,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Plaza Galerías,Secretaría de Movilidad
98,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Plaza Galerías,La Minerva
99,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Plaza Galerías,Basílica de Zapopan
100,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Andares,Hospicio Cabañas
101,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Andares,Plaza Galerías
102,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Andares,Secretaría de Movilidad
103,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Andares,La Minerva
104,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Andares,Basílica de Zapopan
105,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Secretaría de Movilidad,Hospicio Cabañas
106,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Secretaría de Movilidad,Plaza Galerías
107,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Secretaría de Movilidad,Andares
108,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Secretaría de Movilidad,La Minerva
109,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Secretaría de Movilidad,Basílica de Zapopan
110,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,La Minerva,Hospicio Cabañas
111,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,La Minerva,Plaza Galerías
112,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,La Minerva,Andares
113,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,La Minerva,Secretaría de Movilidad
114,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,La Minerva,Basílica de Zapopan
115,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Basílica de Zapopan,Hospicio Cabañas
116,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Basílica de Zapopan,Plaza Galerías
117,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Basílica de Zapopan,Andares
118,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Basílica de Zapopan,Secretaría de Movilidad
119,2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1,Basílica de Zapopan,La Minerva
120,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías
121,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares
122,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad
123,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,La Minerva
124,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan
125,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Hospicio Cabañas
126,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Andares
127,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Secretaría de Movilidad
128,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,La Minerva
129,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Basílica de Zapopan
130,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Andares,Hospicio Cabañas
131,2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0,Andares,Plaza Galerías
